SYS_LOC_CODE,TOTALBDE
COW20,107.95
PTP2-ARDMILLIAN,92.935
PTP2-BELLA,34.119
PTP2-COM1,65.79
PTP2-DIX,33.373
PTP2-EH1,6932.331
PTP2-EH2,386.482
PTP2-FC1,562.862
PTP2-FR1,18.587
PTP2-GINP1,407.359
PTP2-GINP2,100.165
PTP2-HG1,31.774
PTP2-HG2,63.525
PTP2-HG4,24.395
PTP2-HG5,57.071
PTP2-HG6,3463.904
PTP2-HS1,1123.082
PTP2-IA1,130.381
PTP2-IA2,2342.463
PTP2-IA3,68.629
PTP2-JDF1,79.716
PTP2-JDF2,19.022
PTP2-LG61,247.543666666667
PTP2-LG62,390.973666666667
PTP2-LG80,616.510666666667
PTP2-NAMU,34.437
PTP2-NAN1,1397.839
PTP2-NAN2,28.24
PTP2-NWC1,38386.612
PTP2-NWC10,843.425
PTP2-NWC11,22.448
PTP2-NWC2,145.376
PTP2-NWC3,76.18
PTP2-NWC4,358.809
PTP2-NWC5,227.185
PTP2-NWC6,37.881
PTP2-NWC8,24.244
PTP2-NWC9,876.024
PTP2-PB,326.067
PTP2-PH,1051.983
PTP2-PMV1,7032.987
PTP2-PMV2,4326.883
PTP2-PMV3,410.331
PTP2-PMV4,541.921
PTP2-PMV5,2552.019
PTP2-PMV6,1659.909
PTP2-PMV7,3129.266
PTP2-PNEV,109.095
PTP2-SAT,484.598
PTP2-SBA1,276.391333333333
PTP2-SBA2,203.793666666667
PTP2-SI1,234.201
PTP2-SITE5-2,1057.82466666667
PTP2-SITE7-2,627.970666666667
PTP2-SOA10,9088.64866666667
PTP2-SOA3,1943.027
PTP2-SOA4,3245.22966666667
PTP2-SOA5,956.924666666667
PTP2-SOA6,733.699666666667
PTP2-SOA7,9756.01766666667
PTP2-SOA8,2998.94566666667
PTP2-SOA9,9858.85666666667
PTP2-STH1,221.568
PTP2-TSW,966.827
PTP2-TSW2,261.67
PTP2-TSW3,74.128
PTP2-VH2,11128.71
PTP2-VH3,166096.51
PTP2-VH4,11856.648
PTP2-WCVI1,197.627
PTP2-WCVI2,65.11
SRKW19-1,145.986
SRKW19-10,1271.25
SRKW19-11,3595.734
SRKW19-12,300.914
SRKW19-13,1286.853
SRKW19-14,3253.388
SRKW19-15,778.96
SRKW19-16,1184.821
SRKW19-17,263.315
SRKW19-18,371.343
SRKW19-19,1138.534
SRKW19-2,366.583
SRKW19-3,126.684
SRKW19-4,1034.459
SRKW19-5,198.626
SRKW19-6,1349.251
SRKW19-7,1546.602
SRKW19-8,1155.774
SRKW19-9,1250.059
SRKW20-1,125.194
SRKW20-2,70.582
SRKW20-3,463.351
SRKW20-4,74.035
SRKW20-5,95.977
SRKW20-6,501.215
SRKW20-7,498.467
