SYS_LOC_CODE,TOTALCB
COW20,181.489
PTP2-ARDMILLIAN,1525.699
PTP2-BELLA,467.919
PTP2-COM1,425.127
PTP2-DIX,302.185
PTP2-EH1,24411.036
PTP2-EH2,2478.969
PTP2-FC1,866.838
PTP2-FR1,48.897
PTP2-GINP1,529.485
PTP2-GINP2,668.191
PTP2-HG1,318.969
PTP2-HG2,391.111
PTP2-HG4,304.718
PTP2-HG5,938.385
PTP2-HG6,250.202
PTP2-HS1,466.691
PTP2-IA1,625.408
PTP2-IA2,2519.544
PTP2-IA3,1211.422
PTP2-JDF1,185.964
PTP2-JDF2,35.562
PTP2-LG61,572.222
PTP2-LG62,800.78
PTP2-LG80,1326.356
PTP2-NAMU,3117.969
PTP2-NAN1,4921.001
PTP2-NAN2,261.798
PTP2-NWC1,185047.457
PTP2-NWC10,13492.944
PTP2-NWC11,55.437
PTP2-NWC2,255.371
PTP2-NWC3,94.432
PTP2-NWC4,463.737
PTP2-NWC5,384.759
PTP2-NWC6,13369.838
PTP2-NWC8,20.574
PTP2-NWC9,1823.373
PTP2-PB,454.782
PTP2-PH,6578.851
PTP2-PMV1,16732.729
PTP2-PMV2,14407.541
PTP2-PMV3,1485.767
PTP2-PMV4,1015.434
PTP2-PMV5,43852.13
PTP2-PMV6,4553.274
PTP2-PMV7,9981.808
PTP2-PNEV,200.628
PTP2-SAT,626.969
PTP2-SBA1,410.795
PTP2-SBA2,953.968
PTP2-SI1,305.596
PTP2-SITE5-2,507.525
PTP2-SITE7-2,978.807
PTP2-SOA10,88746.221
PTP2-SOA3,7148.025
PTP2-SOA4,17891.311
PTP2-SOA5,12000.637
PTP2-SOA6,1800.581
PTP2-SOA7,80058.826
PTP2-SOA8,8646.969
PTP2-SOA9,41215.078
PTP2-STH1,171.031
PTP2-TSW,38.116
PTP2-TSW2,187.449
PTP2-TSW3,86.71
PTP2-VH2,185507.844
PTP2-VH3,222986.952
PTP2-VH4,217104.502
PTP2-WCVI1,77.363
PTP2-WCVI2,11.668
SRKW19-1,955.624
SRKW19-10,2288.858
SRKW19-11,2174.068
SRKW19-12,538.977
SRKW19-13,1789.667
SRKW19-14,3599.427
SRKW19-15,3999.733
SRKW19-16,3054.723
SRKW19-17,569.793
SRKW19-18,1134.891
SRKW19-19,3089.747
SRKW19-2,2431.407
SRKW19-3,367.398
SRKW19-4,1009.273
SRKW19-5,212.482
SRKW19-6,1619.117
SRKW19-7,686.421
SRKW19-8,1544.654
SRKW19-9,1622.13
SRKW20-1,214.314
SRKW20-2,188.656
SRKW20-3,485.352
SRKW20-4,117.627
SRKW20-5,115.683
SRKW20-6,3446.705
SRKW20-7,5223.93
